id,name,city,address,postcode,capacity,approved,created_at
"66","McChuills","Glasgow","40 High Street","G1 1NL","200","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"30","McQ's @ Coadys","Dunfermline","2 Canmore Street","KY12 7NU","200","true","Thu Dec 18 2025 23:41:20 GMT+0000 (Greenwich Mean Time)"
"176","Mono","Glasgow, ","null","null","null","false","Fri Jan 02 2026 22:34:33 GMT+0000 (Greenwich Mean Time)"
"99","Montrose Town Hall","Montrose","High Street","DD10 8HL","400","true","Fri Dec 19 2025 07:41:51 GMT+0000 (Greenwich Mean Time)"
"97","Music Hall Dundee","Dundee","Union Street","DD1 4BS","400","true","Fri Dec 19 2025 07:41:51 GMT+0000 (Greenwich Mean Time)"
"168","Nice And Sleazy","Glasgow","null","null","null","false","Fri Jan 02 2026 22:34:32 GMT+0000 (Greenwich Mean Time)"
"63","Nice N Sleazy","Glasgow","421 Sauchiehall Street","G2 3LG","200","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"174","Nice N Sleazys","Glasgow","null","null","null","false","Fri Jan 02 2026 22:34:33 GMT+0000 (Greenwich Mean Time)"
"56","O2 Academy","Glasgow","121 Eglinton Street","G5 9NT","2500","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"89","OGV Podium","Aberdeen","1-3 Little Belmont Street","AB10 1JG","100","true","Fri Dec 19 2025 07:41:49 GMT+0000 (Greenwich Mean Time)"
"29","PJ Molloys","Dunfermline","34 Canmore Street","KY12 7NU","300","true","Thu Dec 18 2025 23:41:20 GMT+0000 (Greenwich Mean Time)"
"69","Paisley Town Hall","Paisley","Abbey Close","PA1 1JF","1000","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"14","People's Leisure Club","Edinburgh","20 Leith Walk","EH6 5AA","150","true","Thu Dec 18 2025 23:41:17 GMT+0000 (Greenwich Mean Time)"
"44","Plough Hotel","Stenhousemuir","null","null","null","true","Fri Dec 19 2025 07:40:52 GMT+0000 (Greenwich Mean Time)"
"72","Princess Bar","Glasgow","1 Waterloo Street","G2 6AY","150","true","Fri Dec 19 2025 07:41:43 GMT+0000 (Greenwich Mean Time)"
"74","Radisson Red","Glasgow","25 Tunnel Street","G3 8HL","300","true","Fri Dec 19 2025 07:41:43 GMT+0000 (Greenwich Mean Time)"
"108","Raigmore Motel","Inverness","Old Perth Road","IV2 3HH","150","true","Fri Dec 19 2025 07:41:53 GMT+0000 (Greenwich Mean Time)"
"48","Roccos Music Lounge","Glasgow","202 West George Street","G2 2NR","200","true","Fri Dec 19 2025 07:41:41 GMT+0000 (Greenwich Mean Time)"
"189","Room 2","Glasgow","null","null","null","false","Fri Jan 02 2026 22:34:36 GMT+0000 (Greenwich Mean Time)"
"94","Room360","Dundee","2 Ward Road","DD1 1LU","100","true","Fri Dec 19 2025 07:41:51 GMT+0000 (Greenwich Mean Time)"
"172","SWG3","Glasgow","null","null","null","false","Fri Jan 02 2026 22:34:33 GMT+0000 (Greenwich Mean Time)"
"57","SWG3 Poetry Club","Glasgow","100 Eastvale Place","G3 8QG","4000","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"76","Slay Glasgow","Glasgow","14 Midland Street","G1 4PR","150","true","Fri Dec 19 2025 07:41:43 GMT+0000 (Greenwich Mean Time)"
"2","Sneaky Pete's","Edinburgh","73 Cowgate","EH1 1JW","100","true","Thu Dec 18 2025 23:11:37 GMT+0000 (Greenwich Mean Time)"
"13","St Giles Cathedral","Edinburgh","High Street, Royal Mile","EH1 1RE","1000","true","Thu Dec 18 2025 23:41:17 GMT+0000 (Greenwich Mean Time)"
"184","St Luke's ","Glasgow","null","null","null","false","Fri Jan 02 2026 22:34:35 GMT+0000 (Greenwich Mean Time)"
"32","St Mary's Cathedral","Edinburgh","Palmerston Place","EH12 5AW","800","true","Thu Dec 18 2025 23:41:20 GMT+0000 (Greenwich Mean Time)"
"68","Stereo, UK","Glasgow","22-28 Renfield Lane","G2 5AR","300","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"4","Stramash","Edinburgh","10 Calton Road","EH8 8DL","250","true","Thu Dec 18 2025 23:11:37 GMT+0000 (Greenwich Mean Time)"
"192","THE GRILL","Perth","null","null","null","false","Fri Jan 02 2026 22:34:37 GMT+0000 (Greenwich Mean Time)"
"180","TV Studio   SWG3","Glasgow","null","null","null","false","Fri Jan 02 2026 22:34:34 GMT+0000 (Greenwich Mean Time)"
"113","The Alhambra Theatre","Dunfermline","Canmore Street","KY12 7NU","600","true","Fri Dec 19 2025 07:41:59 GMT+0000 (Greenwich Mean Time)"
"157","The Banshee Labyrinth","Edinburgh","null","null","null","false","Fri Jan 02 2026 22:34:28 GMT+0000 (Greenwich Mean Time)"
"60","The Blue Dog","Glasgow","17 Midland Street","G1 4PR","150","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"91","The Blue Lamp","Aberdeen","121 Gallowgate","AB25 1BU","250","true","Fri Dec 19 2025 07:41:49 GMT+0000 (Greenwich Mean Time)"
"164","The Bongo Club","Edinburgh","null","null","null","false","Fri Jan 02 2026 22:34:30 GMT+0000 (Greenwich Mean Time)"
"17","The Brasshouse, Dunfermline","Dunfermline","2 Canmore Street","KY12 7NU","200","true","Thu Dec 18 2025 23:41:18 GMT+0000 (Greenwich Mean Time)"
"51","The Bungalow Bar","Paisley","null","null","null","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"24","The Caves","Edinburgh","8-10 Niddry Street South","EH1 1NS","500","true","Thu Dec 18 2025 23:41:19 GMT+0000 (Greenwich Mean Time)"
"75","The Classic Grand","Glasgow","18 Jamaica Street","G1 4QD","1000","true","Fri Dec 19 2025 07:41:43 GMT+0000 (Greenwich Mean Time)"
"21","The Counting House (The Ballroom)","Edinburgh","37 West Nicolson Street","EH8 9DB","300","true","Thu Dec 18 2025 23:41:18 GMT+0000 (Greenwich Mean Time)"
"101","The Crown Inn, Monifieth","Dundee","null","null","null","true","Fri Dec 19 2025 07:41:51 GMT+0000 (Greenwich Mean Time)"
"70","The Drake","Glasgow","1180 Argyle Street","G3 8TE","200","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"47","The Ferry","Glasgow","1 Anderston Quay","G3 8BX","300","true","Fri Dec 19 2025 07:41:41 GMT+0000 (Greenwich Mean Time)"
"77","The Garage","Glasgow","490 Sauchiehall Street","G2 3LW","1800","true","Fri Dec 19 2025 07:41:43 GMT+0000 (Greenwich Mean Time)"
"178","The Garage Attic","Glasgow","null","null","null","false","Fri Jan 02 2026 22:34:34 GMT+0000 (Greenwich Mean Time)"
"33","The Hive, Edinburgh","Edinburgh","15-17 Niddry Street","EH1 1LG","200","true","Thu Dec 18 2025 23:41:20 GMT+0000 (Greenwich Mean Time)"
"169","The Hug And Pint","Glasgow","null","null","null","false","Fri Jan 02 2026 22:34:32 GMT+0000 (Greenwich Mean Time)"
"82","The Lemon Tree","Aberdeen","5 West North Street","AB24 5AT","550","true","Fri Dec 19 2025 07:41:48 GMT+0000 (Greenwich Mean Time)"
"26","The Liquid Room","Edinburgh","9C Victoria Street","EH1 2HE","800","true","Thu Dec 18 2025 23:41:19 GMT+0000 (Greenwich Mean Time)"
"9","The Mash House","Edinburgh","37 Guthrie Street","EH1 1JG","500","true","Thu Dec 18 2025 23:41:17 GMT+0000 (Greenwich Mean Time)"
"115","The Monarch Bar","Dunfermline","null","null","null","true","Fri Dec 19 2025 21:41:49 GMT+0000 (Greenwich Mean Time)"
"64","The Noble | Public House | Glasgow","Glasgow","1 Albion Street","G1 1LH","150","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"62","The Old Hairdressers","Glasgow","20-28 Renfield Lane","G2 6PH","100","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"185","The Old Hairdressers Renfield Lane Glasgow (Stereo)","Glasgow","null","null","null","false","Fri Jan 02 2026 22:34:35 GMT+0000 (Greenwich Mean Time)"
"130","The Queen's Hall","Edinburgh","null","null","null","true","Sat Dec 20 2025 22:37:21 GMT+0000 (Greenwich Mean Time)"
"39","The Terrace Falkirk","Falkirk","12 Cow Wynd","FK1 1PU","200","true","Fri Dec 19 2025 07:40:51 GMT+0000 (Greenwich Mean Time)"
"87","The Tivoli Theatre Co Ltd","Aberdeen","1 Guild Street","AB11 6ND","1500","true","Fri Dec 19 2025 07:41:48 GMT+0000 (Greenwich Mean Time)"
"83","The Tunnels","Aberdeen","Carnegie's Brae","AB10 1BF","300","true","Fri Dec 19 2025 07:41:48 GMT+0000 (Greenwich Mean Time)"
"20","The Usher Hall","Edinburgh","Lothian Road","EH1 2EA","2200","true","Thu Dec 18 2025 23:41:18 GMT+0000 (Greenwich Mean Time)"
"19","The Voodoo Rooms","Edinburgh","19a West Register Street","EH2 2AA","300","true","Thu Dec 18 2025 23:41:18 GMT+0000 (Greenwich Mean Time)"
"18","The Windsor, Kirkcaldy","Kirkcaldy","1 Whytescauseway","KY1 1XF","200","true","Thu Dec 18 2025 23:41:18 GMT+0000 (Greenwich Mean Time)"
"191","Tunnels Aberdeen","Aberdeen","null","null","null","false","Fri Jan 02 2026 22:34:36 GMT+0000 (Greenwich Mean Time)"
"88","Unit 51","Aberdeen","1-5 Windmill Brae","AB11 6HU","250","true","Fri Dec 19 2025 07:41:49 GMT+0000 (Greenwich Mean Time)"
"195","Upstairs At The Mash House ","Edinburgh","null","null","null","false","Fri Jan 02 2026 22:34:38 GMT+0000 (Greenwich Mean Time)"
"111","Upstairs Inverness","Inverness ","2 Castle Street","IV2 3EA","100","true","Fri Dec 19 2025 07:41:53 GMT+0000 (Greenwich Mean Time)"
"179","Venue Paisley","Paisley","null","null","null","false","Fri Jan 02 2026 22:34:34 GMT+0000 (Greenwich Mean Time)"
"177","Vibe Dance Bar Paisley","Paisley","null","null","null","false","Fri Jan 02 2026 22:34:34 GMT+0000 (Greenwich Mean Time)"
"52","Vibes Glasgow","Glasgow","17 Midland Street","G1 4PR","200","true","Fri Dec 19 2025 07:41:42 GMT+0000 (Greenwich Mean Time)"
"42","Whitburn Bowling Club","Whitburn","West Main Street","EH47 0QU","100","true","Fri Dec 19 2025 07:40:52 GMT+0000 (Greenwich Mean Time)"
